Isaac Hayes;Hyperbolicsyllabicsesquedalymistic;Hot Buttered Soul;1969;Soul / Funk / Disco;Nemesis;Temple of Boom;Temple of Boom;1993;S;4;http://www.whosampled.com/sample/view/76824/Nemesis-Temple%20of%20Boom_Isaac%20Hayes-Hyperbolicsyllabicsesquedalymistic/
Isaac Hayes;The Look of Love;...To Be Continued;1970;Soul / Funk / Disco;LL Cool J;Hollis to Hollywood;Mr. Smith;1995;S;4;http://www.whosampled.com/sample/view/112801/LL%20Cool%20J-Hollis%20to%20Hollywood_Isaac%20Hayes-The%20Look%20of%20Love/
Isaac Hayes;Walk on By;Hot Buttered Soul;1969;Soul / Funk / Disco;Sounds of Blackness;Everything Is Gonna Be Alright;Africa to America - the Journey of the Drum;1994;R;2;http://www.whosampled.com/sample/view/76736/Sounds%20of%20Blackness-Everything%20Is%20Gonna%20Be%20Alright_Isaac%20Hayes-Walk%20on%20By/
Isaac Hayes;Buns O'Plenty;Tough Guys;1974;Soul / Funk / Disco;Luke Vibert;Get Your Head Down;Ninja Cuts: Flexistentialism;1996;S;4;http://www.whosampled.com/sample/view/110144/Luke%20Vibert-Get%20Your%20Head%20Down_Isaac%20Hayes-Buns%20O'Plenty/
Isaac Hayes;Don't Let Me Be Lonely Tonight;For the Sake of Love;1978;Soul / Funk / Disco;Bone Thugs-N-Harmony;It's All Mo' Thug;The Art of War;1997;S;0;http://www.whosampled.com/sample/view/8660/Bone%20Thugs-N-Harmony-It's%20All%20Mo'%20Thug_Isaac%20Hayes-Don't%20Let%20Me%20Be%20Lonely%20Tonight/
Isaac Hayes;Vykkii;Disco Connection;1975;Soul / Funk / Disco;MF Doom;?;Operation Doomsday;1999;S;0;http://www.whosampled.com/sample/view/18908/MF%20Doom%20feat.%20Kurious-%3F_Isaac%20Hayes-Vykkii/
Isaac Hayes;Theme From Shaft;Isaac Hayes;1971;Soul / Funk / Disco;The Evasions;Wikka Wrap;;1981;R;3;http://www.whosampled.com/sample/view/72238/The%20Evasions-Wikka%20Wrap_Isaac%20Hayes-Theme%20From%20Shaft/
Isaac Hayes;Ike's Rap I;...To Be Continued;1970;Soul / Funk / Disco;Immortal Technique;Industrial Revolution;Revolutionary Vol. 2;2003;S;0;http://www.whosampled.com/sample/view/23029/Immortal%20Technique-Industrial%20Revolution_Isaac%20Hayes-Ike's%20Rap%20I/
Isaac Hayes;Walk on By;Hot Buttered Soul;1969;Soul / Funk / Disco;DJ Whoo Kid;It's a Stick Up;G-Unit Radio Pt.23: Finally Off Papers (Mixtape);2007;S;0;http://www.whosampled.com/sample/view/2308/DJ%20Whoo%20Kid%20and%20Tony%20Yayo%20feat.%20Mazaradi%20Fox%20and%20Snoop%20(From%20the%20Wire)-It's%20a%20Stick%20Up_Isaac%20Hayes-Walk%20on%20By/
Isaac Hayes;Ike's Mood I;...To Be Continued;1970;Soul / Funk / Disco;51.50 Illegally Insane;Stuck in the Game;Crazy Has Struck Again;1995;R;4;http://www.whosampled.com/sample/view/127611/51.50%20Illegally%20Insane-Stuck%20in%20the%20Game_Isaac%20Hayes-Ike's%20Mood%20I/
Isaac Hayes;The Look of Love;...To Be Continued;1970;Soul / Funk / Disco;Frankie;If I Had You;My Heart Belongs to You;1997;S;0;http://www.whosampled.com/sample/view/47626/Frankie-If%20I%20Had%20You_Isaac%20Hayes-The%20Look%20of%20Love/
Isaac Hayes;Wherever You Are;And Once Again;1980;Soul / Funk / Disco;Onyx;Live Niguz;All We Got Iz Us;1995;S;0;http://www.whosampled.com/sample/view/28307/Onyx-Live%20Niguz_Isaac%20Hayes-Wherever%20You%20Are/
Isaac Hayes;Ike's Mood I;...To Be Continued;1970;Soul / Funk / Disco;DJ Hollywood;Hollywood's World;;1986;S;0;http://www.whosampled.com/sample/view/7939/DJ%20Hollywood-Hollywood's%20World_Isaac%20Hayes-Ike's%20Mood%20I/
Isaac Hayes;You've Lost That Lovin' Feelin';To Be Continued;1970;Soul / Funk / Disco;ED 209;KARMA360 (QB Version);12 Inch;2008;S;0;http://www.whosampled.com/sample/view/130508/ED%20209%20and%20Imam%20T.H.U.G.-KARMA360%20(QB%20Version)_Isaac%20Hayes-You've%20Lost%20That%20Lovin'%20Feelin'/
Isaac Hayes;Hyperbolicsyllabicsesquedalymistic;Hot Buttered Soul;1969;Soul / Funk / Disco;King Tee;Skanless;At Your Own Risk;1990;S;4;http://www.whosampled.com/sample/view/76819/King%20Tee-Skanless_Isaac%20Hayes-Hyperbolicsyllabicsesquedalymistic/
Isaac Hayes;One Woman;Hot Buttered Soul;1969;Soul / Funk / Disco;Group Home;Supa Star;Livin' Proof;1995;S;3;http://www.whosampled.com/sample/view/43741/Group%20Home-Supa%20Star_Isaac%20Hayes-One%20Woman/
Isaac Hayes;The Look of Love;...To Be Continued;1970;Soul / Funk / Disco;Horace Brown;Trippin';Horace Brown;1996;R;0;http://www.whosampled.com/sample/view/70606/Horace%20Brown-Trippin'_Isaac%20Hayes-The%20Look%20of%20Love/
Isaac Hayes;Walk on By;Hot Buttered Soul;1969;Soul / Funk / Disco;Public Enemy;I Woke Up in a Place I Forgot;B-Side Wins Again Vol. Two;2011;S;0;http://www.whosampled.com/sample/view/106993/Public%20Enemy-I%20Woke%20Up%20in%20a%20Place%20I%20Forgot_Isaac%20Hayes-Walk%20on%20By/
Isaac Hayes;A Friend's Place;Shaft;1971;Soul / Funk / Disco;Red Hot Lover Tone;Give It Up (Diamond D Remix);Give It Up (Single);1992;S;4;http://www.whosampled.com/sample/view/49947/Red%20Hot%20Lover%20Tone-Give%20It%20Up%20(Diamond%20D%20Remix)_Isaac%20Hayes-A%20Friend's%20Place/
Isaac Hayes;Something;The Isaac Hayes Movement;1970;Soul / Funk / Disco;R De Rumba;Quieres;R De Rumba;2004;S;0;http://www.whosampled.com/sample/view/132598/R%20De%20Rumba%20feat.%20Kase.O%20and%20Kami-Quieres_Isaac%20Hayes-Something/
Isaac Hayes;Hung Up on My Baby;Tough Guys OST;1974;Soul / Funk / Disco;Ini Kamoze;Here Comes the Hotstepper;Here Comes the Hotstepper;1994;S;4;http://www.whosampled.com/sample/view/5266/Ini%20Kamoze-Here%20Comes%20the%20Hotstepper_Isaac%20Hayes-Hung%20Up%20on%20My%20Baby/
Isaac Hayes;A Few More Kisses to Go;Don't Let Go;1979;Soul / Funk / Disco;Redman;Tonight's Da Night;Whut? Thee Album;1992;S;4;http://www.whosampled.com/sample/view/93/Redman-Tonight's%20Da%20Night_Isaac%20Hayes-A%20Few%20More%20Kisses%20to%20Go/
Isaac Hayes;(They Long to Be) Close to You;Black Moses;1971;Soul / Funk / Disco;Young Gunz;Life We Choose;Tough Luv;2003;S;0;http://www.whosampled.com/sample/view/7907/Young%20Gunz%20feat.%20Denim-Life%20We%20Choose_Isaac%20Hayes-(They%20Long%20to%20Be)%20Close%20to%20You/
Isaac Hayes;Do Your Thing (Live);Live at the Sahara Tahoe;1973;Soul / Funk / Disco;Dr. Dre;Stranded on Death Row;The Chronic;1992;S;4;http://www.whosampled.com/sample/view/43743/Dr.%20Dre%20and%20Snoop%20Dogg%20feat.%20Bushwick%20Bill,%20The%20Lady%20of%20Rage%20and%20RBX-Stranded%20on%20Death%20Row_Isaac%20Hayes-Do%20Your%20Thing%20(Live)/
Isaac Hayes;Hyperbolicsyllabicsesquedalymistic;Hot Buttered Soul;1969;Soul / Funk / Disco;Sicx and Brotha Lynch Hung;Ruff & Rugged;N**** Deep;1998;S;0;http://www.whosampled.com/sample/view/73998/Sicx%20and%20Brotha%20Lynch%20Hung-Ruff%20%26%20Rugged_Isaac%20Hayes-Hyperbolicsyllabicsesquedalymistic/
Isaac Hayes;A Few More Kisses to Go;Don't Let Go;1979;Soul / Funk / Disco;Nate Dogg;Because I Got a Girl;G-Funk Classics, Vol. 1 & 2;1998;S;4;http://www.whosampled.com/sample/view/88767/Nate%20Dogg-Because%20I%20Got%20a%20Girl_Isaac%20Hayes-A%20Few%20More%20Kisses%20to%20Go/
